Ticker,TrailingPE,CurrentPrice,TrailingEPS,FairMarketValue,OverUnderRatio,Valuation,ValuePercentage
AAPL,34.298935,226.03,6.59,622.8068317017949,0.3629215167444166,Under Valued,63.70784832555834
MSFT,37.019035,505.68,13.66,1290.9774387020511,0.39170320475035625,Under Valued,60.82967952496438
GOOG,21.397121,200.6801,9.38,886.4837756241026,0.2263776343325823,Under Valued,77.36223656674177
AMZN,34.001522,223.39,6.57,620.9166743976923,0.3597745224295916,Under Valued,64.02254775704084
META,26.967983,743.777,27.58,2606.5269223574355,0.2853517428192538,Under Valued,71.46482571807462
NVDA,55.954693,172.9,3.09,292.0293034838461,0.5920638714585852,Under Valued,40.79361285414148
ORCL,53.592163,232.59,4.34,410.16413499025634,0.5670656699555784,Under Valued,43.293433004442164
CSCO,25.576628,66.755,2.61,246.66552818538457,0.2706296274598591,Under Valued,72.93703725401409
IBM,39.02581,241.96,6.2,585.9487642717949,0.41293712821581413,Under Valued,58.70628717841859
ADBE,22.703846,354.18,15.6,1474.3226971999998,0.2402323457901385,Under Valued,75.97676542098614
CRM,38.440624,246.075,6.4,604.8503373128204,0.4068361788359776,Under Valued,59.316382116402245
TXN,36.30896,198.61,5.47,516.9580226720512,0.38418980127907715,Under Valued,61.58101987209228
QCOM,14.900579,154.37,10.36,979.1014835251281,0.15766496384441256,Under Valued,84.23350361555875
AVGO,104.47446,286.26,2.74,258.95155066205126,1.105457755584511,Over Valued,10.545775558451108
SAP,41.821537,271.84,6.5,614.3011238333332,0.4425191318285024,Under Valued,55.748086817149755
NOW,112.0683,894.305,7.98,754.172764336923,1.1858091968970568,Over Valued,18.580919689705677
SNPS,68.9456,595.69,8.64,816.5479553723077,0.7295223704630958,Under Valued,27.047762953690423
AMD,97.40719,162.67,1.67,157.8281348925641,1.0306780860759193,Over Valued,3.0678086075919264
INTU,56.89894,698.15,12.27,1159.6115060669229,0.6020550816781123,Under Valued,39.79449183218877
AMAT,19.002073,159.4274,8.39,792.9209890710256,0.20106341261918514,Under Valued,79.89365873808148
MU,20.74054,115.11,5.55,524.5186518884615,0.21945835402718541,Under Valued,78.05416459728146
KLAC,28.675163,871.725,30.4,2873.039102235897,0.3034156407135545,Under Valued,69.65843592864456
LRCX,23.636143,98.09,4.15,392.20764060128204,0.25009711654168976,Under Valued,74.99028834583102
ADI,65.75203,242.625,3.69,348.734022606923,0.6957307984643522,Under Valued,30.426920153564787
ANSS,55.534126,374.3,6.74,636.983011482564,0.5876137875778271,Under Valued,41.23862124221729
PANW,115.4375,184.7,1.6,151.2125843282051,1.2214591848989953,Over Valued,22.14591848989953
FTNT,31.641434,79.42,2.51,237.21474166487175,0.33480212672533505,Under Valued,66.51978732746649
CDNS,92.36927,342.69,3.71,350.62417991102564,0.9773712699647839,Under Valued,2.262873003521615
DOCU,13.461976,70.81,5.26,497.1113709789743,0.1424429295603358,Under Valued,85.75570704396642
DDOG,351.63885,126.59,0.36,34.02283147384615,3.720736767523643,Over Valued,272.0736767523643
OKTA,139.55385,90.71,0.65,61.43011238333333,1.4766373766981846,Over Valued,47.66373766981846
TWLO,1011.60004,101.16,0.1,9.45078652051282,10.703871024960032,Over Valued,970.3871024960032
WDAY,127.91621,228.97,1.79,169.16907871717947,1.3534979426281384,Over Valued,35.34979426281384
PLTR,511.63333,153.49,0.3,28.35235956153846,5.413658770334504,Over Valued,441.3658770334504
CDW,20.730099,166.67,8.04,759.8432362492306,0.21934787604706898,Under Valued,78.0652123952931
AKAM,26.773851,75.77,2.83,267.45725853051283,0.28329760207781307,Under Valued,71.6702397922187
NFLX,51.451344,1205.505,23.43,2214.3192817561535,0.544413359867384,Under Valued,45.5586640132616
ZBRA,28.873346,305.48,10.58,999.8932138702563,0.30551262451075933,Under Valued,69.44873754892407
FFIV,27.581642,312.5,11.33,1070.7741127741024,0.29184493374647646,Under Valued,70.81550662535236
